id,name,region,population,pop_100k,city_name,snd_city_name
1,Al-Riyad,الرياض,5188286,51.88286,الرياض,
2,Makkah Al-Mokarramah,مكة,1534731,15.34731,مكة,
3,Al-Madinah,المدينة المنورة,1100093,11.00093,المدينة المنورة,
4,Jeddah,جدة,3430897,34.30897,جدة,
5,Al-Qatif,القطيف/سيهات,524182,5.24182,القطيف,سيهات
6,Ad-Dammam,الدمام/الظهران,903312,9.03312,الدمام,الظهران
7,Tabouk,تبوك,512629,5.12629,تبوك,
8,Al-Ahsa,الأحساء,660788,6.60788,الأحساء,
9,At-Taif,الطائف,579970,5.7997,الطائف,
10,Al-Khubar,الخبر,219679,2.19679,الخبر,
12,Khamis Mushayt,خميس مشيط,430828,4.30828,خميس مشيط,
13,Buraydah,بريدة,467410,4.6741,بريدة,
14,Najran,نجران,298288,2.98288,نجران,
15,Abha,أبها,236157,2.36157,أبها,
16,Jazan,جازان,127743,1.27743,جازان,
17,Bishah,بيشة,86201,0.86201,بيشة,
18,Al-Baha,الباحة,95089,0.95089,الباحة,
19,Al-Khafji,الخفجي,67012,0.67012,الخفجي,
20,Yanbu Al-Bahr,ينبع,233236,2.33236,ينبع,
21,Ras Tannurah,راس تنورة,0,0,راس تنورة,
22,Ad-Diriyah,الدرعية,0,0,الدرعية,
23,Al-Jubayl,الجبيل,0,0,الجبيل,
24,Al-Kharj,الخرج,0,0,الخرج,
25,Sharurah,شرورة,0,0,شرورة,
26,Ar-Rass,الرس,0,0,الرس,
27,Ahad Rifaydah,أحد رفيدة,0,0,أحد رفيدة,
28,Al-Qunfidhah,القنفذة,0,0,القنفذة,
29,Arar,عرعر,167057,1.67,عرعر,
30,Muhayil,محايل عسير,0,0,محايل عسير,
31,Balqarn,سبت العلايه,0,0,سبت العلايه,
32,Samtah,صامطة,0,0,صامطة,
33,Al-Badai,البدائع,0,0,البدائع,
34,Al-Hinakiyah,الحناكية,0,0,الحناكية,
37,Unayzah,عنيزة,0,0,عنيزة,
38,Ad-Duwadimi,الدوادمي,0,0,الدوادمي,
39,Al-Majmaah,المجمعة,0,0,المجمعة,
40,Al Shemli,الشملي,0,0,الشملي,
41,Al-Ula,العلا,0,0,العلا,
42,Al-Wajh,الوجه,0,0,الوجه,
43,Al-Aridah,العارضة,0,0,العارضة,
44,Duba,ضبا‎,0,0,ضبا‎,
45,Hafar Al-Batin,حفر الباطن,0,0,حفر الباطن,
46,Khulays,خليص,0,0,خليص,
47,Maysan,ميسان,0,0,ميسان,
48,Al-Nuayriyah,النعيرية,0,0,النعيرية,
49,Riyad Al-Khabra,رياض الخبراء,0,0,رياض الخبراء,
50,Sabya,صبيا,0,0,صبيا,
51,Hail,حائل,,,حائل,
52,Al-Mukhwah,المخواة,,,المخواة,
53,Az-Zulfi,الزلفي,,,الزلفي,
54,Al Muwayh,المويه,,,المويه,
55,Al Tewal,الطوال,,,الطوال,
56,Al-Quwayiyah,القويعية,,,القويعية,
57,Adham,أضم,,,أضم,
58,Al-Lith,الليث,,,الليث,
59,Al-Qurayyat,القريات,,,القريات,
60,Al-Bukayriyah,البكيرية,,,البكيرية,
61,Alordyat,العرضيات,,,العرضيات,
62,Baysh,بيش,,,بيش,
63,Rabigh,رابغ,,,رابغ,
64,Al Ais,العيص,,,العيص,
65,Turaib,طريب,,,طريب,
66,Sakaka,سكاكا,,,سكاكا,
67,Al-Midhnab,المذنب,,,المذنب,
68,Uglat Asugour,عقلة الصقور,,,عقلة الصقور,
69,Al-Aqiq,العقيق,,,العقيق,
70,Al-Khurmah,الخرمة,,,الخرمة,
71,Al-Mandaq,المندق,,,المندق,
72,Wadi Al Fare',وادي الفرع,,,وادي الفرع,
,Al-Qari,القرى,,,القرى,
,Turubah,تربه,,,تربه,
,Ar-Rayth,,,,,
